id,label,x,y
12,malopolskie,-219,-1773
12,malopolskie,-179,-1764
12,malopolskie,-152,-1816
12,malopolskie,-204,-1836
12,malopolskie,-213,-1867
12,malopolskie,-176,-1876
12,malopolskie,-144,-2002
12,malopolskie,-161,-2062
12,malopolskie,-135,-2096
12,malopolskie,-114,-2177
12,malopolskie,-113,-2252
12,malopolskie,-198,-2246
12,malopolskie,-225,-2276
12,malopolskie,-248,-2276
12,malopolskie,-308,-2252
12,malopolskie,-333,-2270
12,malopolskie,-321,-2327
12,malopolskie,-363,-2348
12,malopolskie,-384,-2393
12,malopolskie,-438,-2405
12,malopolskie,-462,-2387
12,malopolskie,-508,-2396
12,malopolskie,-580,-2289
12,malopolskie,-690,-2336
12,malopolskie,-757,-2292
12,malopolskie,-772,-2318
12,malopolskie,-790,-2330
12,malopolskie,-853,-2324
12,malopolskie,-833,-2369
12,malopolskie,-865,-2387
12,malopolskie,-922,-2369
12,malopolskie,-956,-2393
12,malopolskie,-1003,-2459
12,malopolskie,-1006,-2550
12,malopolskie,-1121,-2505
12,malopolskie,-1190,-2531
12,malopolskie,-1250,-2511
12,malopolskie,-1238,-2468
12,malopolskie,-1202,-2442
12,malopolskie,-1229,-2395
12,malopolskie,-1250,-2300
12,malopolskie,-1319,-2315
12,malopolskie,-1401,-2215
12,malopolskie,-1419,-2120
12,malopolskie,-1454,-2083
12,malopolskie,-1434,-2060
12,malopolskie,-1497,-2023
12,malopolskie,-1467,-1979
12,malopolskie,-1470,-1951
12,malopolskie,-1554,-1924
12,malopolskie,-1597,-1894
12,malopolskie,-1584,-1864
12,malopolskie,-1600,-1849
12,malopolskie,-1647,-1852
12,malopolskie,-1675,-1828
12,malopolskie,-1657,-1810
12,malopolskie,-1672,-1717
12,malopolskie,-1720,-1732
12,malopolskie,-1738,-1717
12,malopolskie,-1723,-1695
12,malopolskie,-1720,-1641
12,malopolskie,-1660,-1594
12,malopolskie,-1657,-1554
12,malopolskie,-1614,-1488
12,malopolskie,-1566,-1482
12,malopolskie,-1506,-1388
12,malopolskie,-1575,-1347
12,malopolskie,-1503,-1307
12,malopolskie,-1503,-1275
12,malopolskie,-1470,-1268
12,malopolskie,-1488,-1235
12,malopolskie,-1457,-1232
12,malopolskie,-1464,-1202
12,malopolskie,-1440,-1190
12,malopolskie,-1401,-1209
12,malopolskie,-1350,-1202
12,malopolskie,-1322,-1178
12,malopolskie,-1235,-1184
12,malopolskie,-1154,-1133
12,malopolskie,-1190,-1085
14,mazowieckie,966,932
14,mazowieckie,966,928
14,mazowieckie,965,928
14,mazowieckie,883,836
14,mazowieckie,911,799
14,mazowieckie,868,802
14,mazowieckie,827,763
14,mazowieckie,796,690
14,mazowieckie,661,724
14,mazowieckie,633,706
14,mazowieckie,646,655
14,mazowieckie,618,633
14,mazowieckie,552,673
14,mazowieckie,517,621
14,mazowieckie,462,598
14,mazowieckie,448,637
14,mazowieckie,417,598
14,mazowieckie,363,630
14,mazowieckie,348,592
14,mazowieckie,258,610
14,mazowieckie,158,552
14,mazowieckie,141,508
14,mazowieckie,176,468
14,mazowieckie,155,426
14,mazowieckie,138,399
14,mazowieckie,167,393
14,mazowieckie,192,402
14,mazowieckie,222,354
14,mazowieckie,135,291
14,mazowieckie,173,242
14,mazowieckie,138,176
14,mazowieckie,69,147
14,mazowieckie,-8,182
14,mazowieckie,-23,116
14,mazowieckie,20,66
14,mazowieckie,86,69
14,mazowieckie,141,-17
14,mazowieckie,135,-69
14,mazowieckie,107,-69
14,mazowieckie,86,-98
14,mazowieckie,138,-135
14,mazowieckie,116,-182
14,mazowieckie,92,-207
14,mazowieckie,147,-242
14,mazowieckie,113,-342
14,mazowieckie,132,-429
14,mazowieckie,135,-508
14,mazowieckie,134,-478
14,mazowieckie,100,-459
14,mazowieckie,31,-451
14,mazowieckie,-8,-448
14,mazowieckie,-80,-468
14,mazowieckie,-116,-527
14,mazowieckie,-200,-448
14,mazowieckie,-333,-453
14,mazowieckie,-329,-407
14,mazowieckie,-378,-375
14,mazowieckie,-353,-338
14,mazowieckie,-390,-312
14,mazowieckie,-396,-360
14,mazowieckie,-421,-378
14,mazowieckie,-471,-349
14,mazowieckie,-499,-369
14,mazowieckie,-556,-375
14,mazowieckie,-581,-351
14,mazowieckie,-608,-371
14,mazowieckie,-604,-329
14,mazowieckie,-647,-268
14,mazowieckie,-717,-290
14,mazowieckie,-764,-222
14,mazowieckie,-741,-207
14,mazowieckie,-808,-186
14,mazowieckie,-859,-197
14,mazowieckie,-810,-186
14,mazowieckie,-810,-117
14,mazowieckie,-736,-43
14,mazowieckie,-736,14
14,mazowieckie,-800,9
14,mazowieckie,-775,78
14,mazowieckie,-840,152
14,mazowieckie,-835,186
14,mazowieckie,-785,221
14,mazowieckie,-731,192
14,mazowieckie,-647,182
14,mazowieckie,-626,261
14,mazowieckie,-666,286
14,mazowieckie,-686,374
14,mazowieckie,-647,374
14,mazowieckie,-711,424
14,mazowieckie,-760,439
14,mazowieckie,-810,498
14,mazowieckie,-909,459
14,mazowieckie,-968,488
14,mazowieckie,-928,523
14,mazowieckie,-943,557
14,mazowieckie,-993,588
14,mazowieckie,-959,662
14,mazowieckie,-1057,711
14,mazowieckie,-1082,760
14,mazowieckie,-1087,819
14,mazowieckie,-1171,864
14,mazowieckie,-1225,874
14,mazowieckie,-1373,819
14,mazowieckie,-1438,854
14,mazowieckie,-1468,899
14,mazowieckie,-1537,904
14,mazowieckie,-1582,975
14,mazowieckie,-1601,1033
14,mazowieckie,-1571,1031
14,mazowieckie,-1530,1097
14,mazowieckie,-1564,1118
14,mazowieckie,-1518,1184
14,mazowieckie,-1556,1235
14,mazowieckie,-1513,1270
14,mazowieckie,-1513,1330
14,mazowieckie,-1463,1322
14,mazowieckie,-1466,1383
14,mazowieckie,-1527,1428
14,mazowieckie,-1530,1452
14,mazowieckie,-1476,1492
14,mazowieckie,-1508,1556
14,mazowieckie,-1461,1553
14,mazowieckie,-1421,1582
14,mazowieckie,-1434,1622
14,mazowieckie,-1357,1591
14,mazowieckie,-1365,1625
14,mazowieckie,-1352,1667
14,mazowieckie,-1388,1760
14,mazowieckie,-1355,1771
14,mazowieckie,-1310,1810
14,mazowieckie,-1256,1789
14,mazowieckie,-1250,1807
14,mazowieckie,-1259,1833
14,mazowieckie,-1218,1882
14,mazowieckie,-1205,1858
14,mazowieckie,-1215,1836
14,mazowieckie,-1169,1801
14,mazowieckie,-1088,1819
14,mazowieckie,-1049,1807
14,mazowieckie,-934,1795
14,mazowieckie,-896,1795
14,mazowieckie,-877,1833
14,mazowieckie,-890,1870
14,mazowieckie,-833,1930
14,mazowieckie,-784,1907
14,mazowieckie,-712,1942
14,mazowieckie,-655,2005
14,mazowieckie,-627,1996
14,mazowieckie,-570,2011
14,mazowieckie,-574,2029
14,mazowieckie,-508,2074
14,mazowieckie,-471,2039
14,mazowieckie,-411,2092
14,mazowieckie,-396,2077
14,mazowieckie,-324,2117
14,mazowieckie,-279,2105
14,mazowieckie,-236,2152
14,mazowieckie,-204,2135
14,mazowieckie,-113,2159
14,mazowieckie,-66,2060
14,mazowieckie,-77,2020
14,mazowieckie,-35,1999
14,mazowieckie,-107,1987
14,mazowieckie,-75,1954
14,mazowieckie,-95,1942
14,mazowieckie,-17,1773
14,mazowieckie,32,1783
14,mazowieckie,80,1726
14,mazowieckie,113,1744
14,mazowieckie,110,1704
14,mazowieckie,83,1692
14,mazowieckie,80,1660
14,mazowieckie,150,1641
14,mazowieckie,167,1594
14,mazowieckie,147,1569
14,mazowieckie,167,1506
14,mazowieckie,230,1494
14,mazowieckie,270,1497
14,mazowieckie,276,1533
14,mazowieckie,336,1542
14,mazowieckie,372,1503
14,mazowieckie,327,1488
14,mazowieckie,351,1413
14,mazowieckie,405,1413
14,mazowieckie,420,1443
14,mazowieckie,462,1428
14,mazowieckie,457,1293
14,mazowieckie,457,1212
14,mazowieckie,577,1031
14,mazowieckie,618,992
14,mazowieckie,703,1019
14,mazowieckie,799,989
14,mazowieckie,893,914
14,mazowieckie,946,940
14,mazowieckie,966,932
16,opolskie,-2587,-313
16,opolskie,-2544,-338
16,opolskie,-2570,-385
16,opolskie,-2502,-414
16,opolskie,-2419,-385
16,opolskie,-2344,-343
16,opolskie,-2258,-372
16,opolskie,-2199,-374
16,opolskie,-2143,-409
16,opolskie,-2119,-449
16,opolskie,-2102,-387
16,opolskie,-2081,-387
16,opolskie,-2005,-475
16,opolskie,-2018,-522
16,opolskie,-2045,-579
16,opolskie,-2038,-610
16,opolskie,-2067,-691
16,opolskie,-2093,-709
16,opolskie,-2121,-753
16,opolskie,-2093,-807
16,opolskie,-2138,-851
16,opolskie,-2111,-937
16,opolskie,-2060,-962
16,opolskie,-2052,-1021
16,opolskie,-2099,-1038
16,opolskie,-2173,-1024
16,opolskie,-2150,-1128
16,opolskie,-2209,-1112
